Model,Epochs,Batch Size,Learning Rate,MAE,Pearson Correlation
CNN_100_32_0.0005,100,32,0.0005,6.935210227966309,0.9135920405387878
CNN_150_64_0.0003,150,64,0.0003,7.839530467987059,0.9341236352920532
CNN_200_16_0.001,200,16,0.001,5.720019817352295,0.9244595170021056
ResNet18_100_16_0.001,100,16,0.001,19.46191596984864,0.6258888840675354
ResNet18_200_32_0.0007,200,32,0.0007,42.21419525146485,0.5836122632026672
ResNet18_300_64_0.0005,300,64,0.0005,13.182886123657228,0.790558934211731
ResNet50_100_32_0.0008,100,32,0.0008,64.1355209350586,0.2311338931322097
ResNet50_250_64_0.0006,250,64,0.0006,8.525433540344238,0.8411360383033752
ResNet50_400_128_0.0003,400,128,0.0003,10.831046104431152,0.7113555073738098
